Component,Number Affirmed on Appeal,Number Partially Affirmed & Partially Reserved/Remanded on Appeal,Number Completely Reserved/Remanded on Appeal,Number of Appeals Closed for Other Reasons,Total,
BPA,0,0,0,0,0,
CBFO,0,0,0,0,0,
CH,0,0,0,0,0,
EMCBC,0,0,0,0,0,
GFO,0,0,0,0,0,
HQ,34,7,10,19,70,
ID,0,0,0,0,0,
NETL,0,0,0,0,0,
NNSA,0,0,0,0,0,
NR,0,0,0,0,0,
NRLFO,0,0,0,0,0,
ORO,0,0,0,0,0,
OSTI,0,0,0,0,0,
ROO,0,0,0,0,0,
SEPA,0,0,0,0,0,
SPR,0,0,0,0,0,
SRO,0,0,0,0,0,
SWPA,0,0,0,0,0,
WAPA,0,0,0,0,0,
Total,34,7,10,19,70,
