Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
AFRC,11,0,0,0,0,0,0,0,0,0,0,0,0,11,
ARC,8,0,0,0,0,0,0,0,0,0,0,0,0,8,
GRC,7,0,0,0,0,0,0,0,0,0,0,0,0,7,
GSFC,34,2,0,0,0,0,0,0,0,0,0,0,0,36,
HQ,82,2,0,0,0,0,0,0,0,0,0,0,0,84,
JPL,21,0,0,0,0,0,0,0,0,0,0,0,0,21,
JSC,42,2,0,0,0,0,0,0,0,0,0,0,0,44,
KSC,41,0,2,0,0,0,0,0,0,0,0,0,0,43,
LaRC,12,0,0,0,0,0,0,0,0,0,0,0,0,12,
MSFC,57,0,0,0,0,0,0,0,0,0,0,0,0,57,
NSSC,3,2,0,0,0,0,0,0,0,0,0,0,0,5,
OGC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OIG,16,4,0,0,0,0,0,0,0,0,0,0,0,20,
SSC,12,1,0,0,0,0,0,0,0,0,0,0,0,13,
Total,346,13,2,0,0,0,0,0,0,0,0,0,0,361,
