Component,NUMBER OF REQUESTS RECEIVED,NUMBER OF REQUESTS RECEIVED,NUMBER OF REQUESTS PROCESSED,NUMBER OF REQUESTS PROCESSED
,Number of Received During Fiscal Year From Last Year's Annual Report,Number of Received During Fiscal Year From Current Annual Report,Number of Processed During Fiscal Year From Last Year's Annual Report,Number of Processed During Fiscal Year From Current Annual Report,
FSIP,13,9,13,9,
Authority,35,33,35,34,
IG,1,1,1,1,
OGC,15,7,15,7,
ATRO,7,7,7,7,
BORO,7,9,7,9,
CHRO,9,3,9,4,
DARO,5,1,5,1,
DERO,1,2,1,2,
SFRO,3,3,5,1,
WARO,0,2,0,2,
Total,96,77,98,77,
